CVE-2017-3528,"The Oracle Applications Framework component of Oracle E-Business Suite (subcomponent: Popup windows (lists of values, datepicker, etc.)) is impacted by open redirect issues in versions 12.1.3, 12.2.3, 12.2.4, 12.2.5 and 12.2.6. These easily exploitable vulnerabilities allow unauthenticated attackers with network access via HTTP to compromise Oracle Applications Framework. Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Oracle Applications Framework, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Oracle Applications Framework accessible data.'",word,,,,,noresize src=/\interact.sh?configName=',,medium,"https://blog.zsec.uk/cve-2017-3528/
     https://www.exploit-db.com/exploits/43592
    https://nvd.nist.gov/vuln/detail/CVE-2017-3528
     http://www.oracle.com/technetwork/security-advisory/cpuapr2017-3236618.html
     http://www.securitytracker.com/id/1038299",CWE-601,CVE-2017-3528,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,cpe:2.3:a:oracle:applications_framework:12.1.3:*:*:*:*:*:*:*,,"oracle,redirect,edb,cve,cve2017"
CVE-2017-4011,McAfee Network Data Loss Prevention User-Agent 9.3.x contains a cross-site scripting vulnerability which allows remote attackers to get session/cookie information via modification of the HTTP request.,"word
word",,,,,"var ua='Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1';alert(/XSS/);//
text/html",,medium,"https://medium.com/@david.valles/cve-2017-4011-reflected-xss-found-in-mcafee-network-data-loss-prevention-ndlp-9-3-x-cf20451870ab
     https://kc.mcafee.com/corporate/index?page=content&id=SB10198
     https://nvd.nist.gov/vuln/detail/CVE-2017-4011
     http://www.securitytracker.com/id/1038523",CWE-79,CVE-2017-4011,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:mcafee:network_data_loss_prevention:*:*:*:*:*:*:*:*,,"cve,cve2017,mcafee,xss"
CVE-2017-5487,"WordPress Core before 4.7.1 is susceptible to user enumeration because it does not properly restrict listings of post authors via wp-includes/rest-api/endpoints/class-wp-rest-users-controller.php in the REST API, which allows a remote attacker to obtain sensitive information via a wp-json/wp/v2/users request.","word
word
status",json,,,,"id:'
          'name:'
          'avatar_urls:'
application/json
200
'.[] | .slug'
          '.[].name'",,medium,"https://www.exploit-db.com/exploits/41497
     https://www.wordfence.com/blog/2016/12/wordfence-blocks-username-harvesting-via-new-rest-api-wp-4-7/
     https://wordpress.org/news/2017/01/wordpress-4-7-1-security-and-maintenance-release/
     https://nvd.nist.gov/vuln/detail/CVE-2017-5487
     http://www.openwall.com/lists/oss-security/2017/01/14/6",CWE-200,CVE-2017-5487,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,cpe:2.3:a:wordpress:wordpress:*:*:*:*:*:*:*:*,,"cve,cve2017,wordpress,wp,edb"
CVE-2017-5521,"|
    NETGEAR R8500, R8300, R7000, R6400, R7300, R7100LG, R6300v2, WNDR3400v3, WNR3500Lv2, R6250, R6700, R6900, and R8000 devices are susceptible to authentication bypass via simple crafted requests to the web management server.","word
status",,,,,"right\>Router\\s*Admin\\s*Username<
           right\>Router\\s*Admin\\s*Password<
200",,high,"https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/cve-2017-5521-bypassing-authentication-on-netgear-routers/
     http://kb.netgear.com/30632/Web-GUI-Password-Recovery-and-Exposure-Security-Vulnerability
     https://nvd.nist.gov/vuln/detail/CVE-2017-5521
     https://www.exploit-db.com/exploits/41205/",CWE-200,CVE-2017-5521,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,cpe:2.3:o:netgear:r6200_firmware:1.0.1.56_1.0.43:*:*:*:*:*:*:*,,"cve,cve2017,auth-bypass,netgear,router,kev"
CVE-2017-5631,KMCIS CaseAware contains a reflected cross-site scripting vulnerability via the user parameter transmitted in the login.php query string.,"word
word
status",,,,,"></script><script>alert(document.domain)</script>
text/html
200",,medium,"https://www.openbugbounty.org/incidents/228262/
     https://www.exploit-db.com/exploits/42042/
     https://nvd.nist.gov/vuln/detail/CVE-2017-5631",CWE-79,CVE-2017-5631,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:kmc_information_systems:caseaware:-:*:*:*:*:*:*:*,,"edb,cve,cve2017,xss,caseaware"
CVE-2017-5638,"|
    Apache Struts 2.3.x before 2.3.32 and 2.5.x before 2.5.10.1 is susceptible to remote command injection attacks. The Jakarta Multipart parser has incorrect exception handling and error-message generation during file upload attempts, which can allow an attacker to execute arbitrary commands via a crafted Content-Type, Content-Disposition, or Content-Length HTTP header. This was exploited in March 2017 with a Content-Type header containing a #cmd= string.","regex
status",,,,,"root:.*:0:0:
200",,critical,"https://github.com/mazen160/struts-pwn
     https://isc.sans.edu/diary/22169
    https://github.com/rapid7/metasploit-framework/issues/8064
     https://nvd.nist.gov/vuln/detail/CVE-2017-5638
     http://blog.talosintelligence.com/2017/03/apache-0-day-exploited.html",CWE-20,CVE-2017-5638,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,cpe:2.3:a:apache:struts:2.3.5:*:*:*:*:*:*:*,,"cve,cve2017,apache,kev,msf,struts,rce"
CVE-2017-5689,"|
    Intel Active Management platforms are susceptible to authentication bypass. A non-privileged network attacker can gain system privileges to provisioned Intel manageability SKUs: Intel Active Management Technology (AMT) and Intel Standard Manageability. A non-privileged local attacker can provision manageability features, gaining unprivileged network or local system privileges on Intel manageability SKUs: Intel Active Management Technology, Intel Standard Manageability, and Intel Small Business Technology. The issue has been observed in versions 6.x, 7.x, 8.x 9.x, 10.x, 11.0, 11.5, and 11.6 for all three platforms. Versions before 6 and after 11.6 are not impacted.","word
status",,,,,"System Status
           Active Management Technology
200",,critical,"https://security-center.intel.com/advisory.aspx?intelid=INTEL-SA-00075&languageid=en-fr
     https://www.tenable.com/blog/rediscovering-the-intel-amt-vulnerability
     https://www.embedi.com/news/mythbusters-cve-2017-5689
     https://www.embedi.com/files/white-papers/Silent-Bob-is-Silent.pdf
     https://nvd.nist.gov/vuln/detail/cve-2017-5689",,CVE-2017-5689,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:o:intel:active_management_technology_firmware:6.0:*:*:*:*:*:*:*,,"cve,cve2017,amt,intel,tenable,kev"
CVE-2017-5982,"|
    Kodi 17.1 is vulnerable to local file inclusion vulnerabilities because of insufficient validation of user input.","regex
status",,,,,"root:[x*]:0:0
200",,high,"https://cxsecurity.com/issue/WLB-2017020164
     https://www.exploit-db.com/exploits/41312/
     https://nvd.nist.gov/vuln/detail/CVE-2017-5982",CWE-22,CVE-2017-5982,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:kodi:kodi:17.1:*:*:*:*:*:*:*,,"cve2017,kodi,lfi,edb,cve"
CVE-2017-6090,"PhpCollab 2.5.1 and earlier allows remote authenticated users to execute arbitrary code by uploading a file with an executable extension, then accessing it via a direct request to the file in logos_clients/ via clients/editclient.php.","word
status",,,,,"48dbd2384cb6b996fa1e2855c7f0567f
200",,high,"https://sysdream.com/news/lab/2017-09-29-cve-2017-6090-phpcollab-2-5-1-arbitrary-file-upload-unauthenticated/
     https://nvd.nist.gov/vuln/detail/CVE-2017-6090
     https://www.exploit-db.com/exploits/42934/",CWE-434,CVE-2017-6090,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,cpe:2.3:a:phpcollab:phpcollab:*:*:*:*:*:*:*:*,,"cve2017,phpcollab,rce,fileupload,edb,cve,intrusive"
CVE-2017-7269,"|
    Internet Information Services (IIS) 6.0 in Microsoft Windows Server 2003 R2 contains a buffer overflow vulnerability in the ScStoragePathFromUrl function in the WebDAV service that could allow remote attackers to execute arbitrary code via a long header beginning with If <http:// in a PROPFIND request.","dsl
word
status",,,,,"regex(<DAV:sql>, dasl)
           regex([\d]+(,\s+[\d]+)?, dav)
           regex(.*?PROPFIND, public)
           regex(.*?PROPFIND, allow)
IIS/6.0
200",,critical,"https://blog.0patch.com/2017/03/0patching-immortal-cve-2017-7269.html
     https://github.com/danigargu/explodingcan/blob/master/explodingcan.py
     https://nvd.nist.gov/vuln/detail/CVE-2017-7269
     https://github.com/edwardz246003/IIS_exploit
     http://www.securitytracker.com/id/1038168",CWE-119,CVE-2017-7269,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:microsoft:internet_information_server:6.0:*:*:*:*:*:*:*,,"cve,cve2017,rce,windows,iis,kev"
CVE-2017-7391,Magmi 0.7.22 contains a cross-site scripting vulnerability due to insufficient filtration of user-supplied data (prefix) passed to the magmi-git-master/magmi/web/ajax_gettime.php URL.,"word
word
status",,,,,"><script>alert(document.domain);</script><'
text/html
200",,medium,"https://github.com/dweeves/magmi-git/issues/522
     https://github.com/dweeves/magmi-git/releases/download/0.7.22/magmi_full_0.7.22.zip
     https://github.com/dweeves/magmi-git/pull/525
     https://nvd.nist.gov/vuln/detail/CVE-2017-7391",CWE-79,CVE-2017-7391,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:magmi_project:magmi:0.7.22:*:*:*:*:*:*:*,,"cve,cve2017,magmi,xss"
CVE-2017-7615,"|
    MantisBT through 2.3.0 allows arbitrary password reset and unauthenticated admin access via an empty confirm_hash value to verify.php.","word
status",,,,,"<input type=\hidden\ name=\account_update_token\ value=\([a-zA-Z0-9_-]+)\
200",,high,"https://sourceforge.net/projects/mantisbt/files/mantis-stable/
     http://hyp3rlinx.altervista.org/advisories/MANTIS-BUG-TRACKER-PRE-AUTH-REMOTE-PASSWORD-RESET.txt
     https://www.exploit-db.com/exploits/41890
     http://www.openwall.com/lists/oss-security/2017/04/16/2
     https://nvd.nist.gov/vuln/detail/CVE-2017-7615",CWE-640,CVE-2017-7615,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,cpe:2.3:a:mantisbt:mantisbt:*:*:*:*:*:*:*:*,,cpe:2.3:a:mantisbt:mantisbt:*:*:*:*:*:*:*:*
CVE-2017-7921,"Hikvision DS-2CD2xx2F-I Series V5.2.0 build 140721 to V5.4.0 build 160530, DS-2CD2xx0F-I Series V5.2.0 build 140721 to V5.4.0 Build 160401, DS-2CD2xx2FWD Series V5.3.1 build 150410 to V5.4.4 Build 161125, DS-2CD4x2xFWD Series V5.2.0 build 140721 to V5.4.0 Build 160414, DS-2CD4xx5 Series V5.2.0 build 140721 to V5.4.0 Build 160421, DS-2DFx Series V5.2.0 build 140805 to V5.4.5 Build 160928, and DS-2CD63xx Series V5.0.9 build 140305 to V5.3.5 Build 160106 devices contain an improper authentication issue. The improper authentication vulnerability occurs when an application does not adequately or correctly authenticate users. This may allow a malicious user to escalate his or her privileges on the system and gain access to sensitive information.","word
word",,,,,"<firmwareVersion>
application/xml",,critical,"http://www.hikvision.com/us/about_10805.html
     https://ics-cert.us-cert.gov/advisories/ICSA-17-124-01
     https://nvd.nist.gov/vuln/detail/CVE-2017-7921
     https://ghostbin.com/paste/q2vq2",CWE-287,CVE-2017-7921,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,cpe:2.3:o:hikvision:ds-2cd2032-i_firmware:-:*:*:*:*:*:*:*,,"cve,cve2017,auth-bypass,hikvision"
CVE-2017-7925,"|
    A Password in Configuration File issue was discovered in Dahua DH-IPC-HDBW23A0RN-ZS, DH-IPC-HDBW13A0SN, DH-IPC-HDW1XXX, DH-IPC-HDW2XXX, DH-IPC-HDW4XXX, DH-IPC-HFW1XXX, DH-IPC-HFW2XXX, DH-IPC-HFW4XXX, DH-SD6CXX, DH-NVR1XXX, DH-HCVR4XXX, DH-HCVR5XXX, DHI-HCVR51A04HE-S3, DHI-HCVR51A08HE-S3, and DHI-HCVR58A32S-S2 devices. The password in configuration file vulnerability was identified, which could lead to a malicious user assuming the identity of a privileged user and gaining access to sensitive information.",dsl,regex,,,,"contains(to_lower(body), ugm)
           contains(to_lower(body), id:name:passwd)
           status_code == 200
1:(.*:.*):1:CtrPanel",,critical,"https://nvd.nist.gov/vuln/detail/CVE-2017-7925
     https://ics-cert.us-cert.gov/advisories/ICSA-17-124-02
     http://us.dahuasecurity.com/en/us/Security-Bulletin_030617.php","CWE-522,CWE-260",CVE-2017-7925,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:o:dahuasecurity:dh-ipc-hdbw23a0rn-zs_firmware:-:*:*:*:*:*:*:*,,"cve,cve2017,dahua,camera"
CVE-2017-8229,"|
    Amcrest IPM-721S V2.420.AC00.16.R.20160909 devices allow an unauthenticated attacker to download the administrative credentials.","word
word
status",,,,,"DevInformation
           SerialID
application/octet-stream
200",,critical,"https://nvd.nist.gov/vuln/detail/CVE-2017-8229
     http://packetstormsecurity.com/files/153224/Amcrest-IPM-721S-Credential-Disclosure-Privilege-Escalation.html
     https://github.com/ethanhunnt/IoT_vulnerabilities/blob/master/Amcrest_sec_issues.pdf
     https://seclists.org/bugtraq/2019/Jun/8",CWE-255,CVE-2017-8229,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:o:amcrest:ipm-721s_firmware:*:*:*:*:*:*:*:*,,"packetstorm,seclists,cve,cve2017,amcrest,iot"
CVE-2017-8917,"|
    Joomla! before 3.7.1 contains a SQL injection vulnerability. An attacker can possibly obtain sensitive information from a database, modify data, and execute unauthorized administrative operations in the context of the affected site.",word,,,,,{{md5(num)}}',,critical,"https://developer.joomla.org/security-centre/692-20170501-core-sql-injection.html
     https://nvd.nist.gov/vuln/detail/CVE-2017-8917
     https://web.archive.org/web/20211207050608/http://www.securitytracker.com/id/1038522
    http://www.securitytracker.com/id/1038522",CWE-89,CVE-2017-8917,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:joomla:joomla\!:3.7.0:*:*:*:*:*:*:*,,"cve,cve2017,joomla,sqli"
CVE-2017-9140,Cross-site scripting vulnerability in Telerik.ReportViewer.WebForms.dll in Telerik Reporting for ASP.NET WebForms Report Viewer control before R1 2017 SP2 (11.0.17.406) allows remote attackers to inject arbitrary web script or HTML via the bgColor parameter to Telerik.ReportViewer.axd.,"word
status",,,,,"#000000onload=prompt(1)'
           'Telerik.ReportViewer.axd?name=Resources'
200",,medium,"https://www.veracode.com/blog/secure-development/anatomy-cross-site-scripting-flaw-telerik-reporting-module
     https://nvd.nist.gov/vuln/detail/CVE-2017-9140
     https://www.veracode.com/blog/research/anatomy-cross-site-scripting-flaw-telerik-reporting-module
     http://www.telerik.com/support/whats-new/reporting/release-history/telerik-reporting-r1-2017-sp2-(version-11-0-17-406)
     https://knowledgebase.progress.com/articles/Article/Security-Advisory-for-Resolving-Security-vulnerabilities-September-2018",CWE-79,CVE-2017-9140,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:progress:telerik_reporting:*:*:*:*:*:*:*:*,,"cve,cve2017,xss,telerik"
CVE-2017-9288,WordPress Raygun4WP 1.8.0 contains a reflected cross-site scripting vulnerability via sendtesterror.php.,"word
word
status",,,,,"</script><script>alert(document.domain)</script>
text/html
200",,medium,"https://github.com/MindscapeHQ/raygun4wordpress/pull/17
     https://github.com/MindscapeHQ/raygun4wordpress/issues/16
     http://jgj212.blogspot.kr/2017/05/a-reflected-xss-vulnerability-in.html
     https://nvd.nist.gov/vuln/detail/CVE-2017-9288
     https://wpvulndb.com/vulnerabilities/8836",CWE-79,CVE-2017-9288,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:raygun:raygun4wp:1.8.0:*:*:*:*:wordpress:*:*,,"cve,cve2017,wordpress,xss,wp-plugin"
CVE-2017-9416,"|
    Odoo 8.0, 9.0, and 10.0 are susceptible to local file inclusion via tools.file_open. An attacker can potentially obtain sensitive information, modify data, and/or execute unauthorized administrative operations in the context of the affected site.","dsl
dsll",,,,,"regex('root:.*:0:0:', body)
           status_code == 200
contains(body, 'bit app support')
           contains(body, 'fonts')
           contains(body, 'extensions')
           status_code == 200",,medium,"https://github.com/odoo/odoo/issues/17394
     https://nvd.nist.gov/vuln/detail/CVE-2017-9416",CWE-22,CVE-2017-9416,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,cpe:2.3:a:odoo:odoo:8.0:*:*:*:*:*:*:*,,"cve,cve2017,odoo,lfi"
CVE-2017-9506,The Atlassian Jira IconUriServlet of the OAuth Plugin from version 1.3.0 before version 1.9.12 and from version 2.0.0 before version 2.0.4 contains a cross-site scripting vulnerability which allows remote attackers to access the content of internal network resources and/or perform an attack via Server Side Request Forgery.,word,,,,,http,,medium,"http://dontpanic.42.nl/2017/12/there-is-proxy-in-your-atlassian.html
     https://ecosystem.atlassian.net/browse/OAUTH-344
     https://medium.com/bugbountywriteup/piercing-the-veil-server-side-request-forgery-to-niprnet-access-171018bca2c3
     https://nvd.nist.gov/vuln/detail/CVE-2017-9506",CWE-918,CVE-2017-9506,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:atlassian:oauth:1.3.0:*:*:*:*:*:*:*,,"cve,cve2017,atlassian,jira,ssrf,oast"
CVE-2017-9791,"|
    Apache Struts 2.1.x and 2.3.x  with the Struts 1 plugin might allow remote code execution via a malicious field value passed in a raw message to the ActionMessage.","word
status",,,,,"{{result}}
           added successfully
200",,critical,"http://www.oracle.com/technetwork/security-advisory/alert-cve-2017-9805-3889403.html
     http://struts.apache.org/docs/s2-048.html
     http://web.archive.org/web/20211207175819/https://securitytracker.com/id/1038838
     http://www.securitytracker.com/id/1038838
     https://security.netapp.com/advisory/ntap-20180706-0002/",CWE-20,CVE-2017-9791,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:apache:struts:2.3.1:*:*:*:*:*:*:*,,"cve,cve2017,apache,rce,struts,kev"
CVE-2017-9805,"The REST Plugin in Apache Struts 2.1.1 through 2.3.x before 2.3.34 and 2.5.x before 2.5.13 uses an XStreamHandler with an instance of XStream for deserialization without any type of filtering, which can lead to remote code execution when deserializing XML payloads.","word
status",,,,,"Debugging information
           com.thoughtworks.xstream.converters.collections.MapConverter
500",,high,"http://www.oracle.com/technetwork/security-advisory/alert-cve-2017-9805-3889403.html
     https://struts.apache.org/docs/s2-052.html
     https://nvd.nist.gov/vuln/detail/CVE-2017-9805
     http://www.securitytracker.com/id/1039263
     https://blogs.apache.org/foundation/entry/apache-struts-statement-on-equifax",CWE-502,CVE-2017-9805,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,cpe:2.3:a:apache:struts:2.1.2:*:*:*:*:*:*:*,,"cve,cve2017,apache,rce,struts,kev"
CVE-2017-9822,DotNetNuke (DNN) versions between 5.0.0 - 9.3.0 are affected by a deserialization vulnerability that leads to remote code execution.,"word
status",,,,,"[extensions]'
           'for 16-bit app support'
404",,high,"https://github.com/murataydemir/CVE-2017-9822
     https://nvd.nist.gov/vuln/detail/CVE-2017-9822
     http://www.dnnsoftware.com/community/security/security-center
     http://packetstormsecurity.com/files/157080/DotNetNuke-Cookie-Deserialization-Remote-Code-Execution.html",CWE-20,CVE-2017-9822,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,cpe:2.3:a:dnnsoftware:dotnetnuke:*:*:*:*:*:*:*:*,,"packetstorm,cve,cve2017,dotnetnuke,bypass,rce,deserialization,kev"
CVE-2017-9833,BOA Web Server 0.94.14 is susceptible to arbitrary file access. The server allows the injection of ../.. using the FILECAMERA variable sent by GET to read files with root privileges and without using access credentials.,"regex
status",,,,,"root:[x*]:0:0
200",,high,"https://www.exploit-db.com/exploits/42290
     https://nvd.nist.gov/vuln/detail/CVE-2017-9833
     https://pastebin.com/raw/rt7LJvyF
     https://www.exploit-db.com/exploits/42290/",CWE-22,CVE-2017-9833,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:boa:boa:0.94.14.21:*:*:*:*:*:*:*,,"boa,lfr,lfi,cve,cve2017,edb"
CVE-2017-9841,"PHPUnit before 4.8.28 and 5.x before 5.6.3 allows remote attackers to execute arbitrary PHP code via HTTP POST data beginning with a <?php  substring via Util/PHP/eval-stdin.php , as demonstrated by an attack on a site with an exposed /vendor folder, i.e., external access to the /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php URI.","word
status",,,,,"6dd70f16549456495373a337e6708865
200",,critical,"https://github.com/cyberharsh/Php-unit-CVE-2017-9841
     https://github.com/RandomRobbieBF/phpunit-brute
     https://thephp.cc/articles/phpunit-a-security-risk
     https://twitter.com/sec715/status/1411517028012158976
     https://nvd.nist.gov/vuln/detail/CVE-2017-9841",CWE-94,CVE-2017-9841,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:phpunit_project:phpunit:*:*:*:*:*:*:*:*,,"cve,cve2017,php,phpunit,rce,kev"
CVE-2018-0127,"Cisco RV132W ADSL2+ Wireless-N VPN Routers and Cisco RV134W VDSL2 Wireless-AC VPN Routers could allow an unauthenticated, remote attacker to view configuration parameters for an affected device via the web interface, which could lead to the disclosure of confidential information.","word
status",,,,,"Dump
           MDM
           cisco
           admin
200",,critical,"https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180207-rv13x_2
     http://web.archive.org/web/20211207054802/https://securitytracker.com/id/1040345
     https://nvd.nist.gov/vuln/detail/CVE-2018-0127
     http://www.securitytracker.com/id/1040345","CWE-306,CWE-200",CVE-2018-0127,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:o:cisco:rv132w_firmware:1.0.0.1:*:*:*:*:*:*:*,,"cve,cve2018,cisco,router"
CVE-2018-0296,"|
    Cisco Adaptive Security Appliances (ASA) web interfaces could allow an unauthenticated, remote attacker to cause an affected device to reload unexpectedly, resulting in a denial of service (DoS) condition. It is also possible on certain software releases that the ASA will not reload, but an attacker could view sensitive system information without authentication by using directory traversal techniques. The vulnerability is due to lack of proper input validation of the HTTP URL. An attacker could exploit this vulnerability by sending a crafted HTTP request to an affected device. An exploit could allow the attacker to cause a DoS condition or unauthenticated disclosure of information. This vulnerability applies to IPv4 and IPv6 HTTP traffic. This vulnerability affects Cisco ASA Software and Cisco Firepower Threat Defense (FTD) Software that is running on the following Cisco products: 3000 Series Industrial Security Appliance (ISA), ASA 1000V Cloud Firewall, ASA 5500 Series Adaptive Security Appliances, ASA 5500-X Series Next-Generation Firewalls, ASA Services Module for Cisco Catalyst 6500 Series Switches and Cisco 7600 Series Routers, Adaptive Security Virtual Appliance (ASAv), Firepower 2100 Series Security Appliance, Firepower 4100 Series Security Appliance, Firepower 9300 ASA Security Module, FTD Virtual (FTDv). Cisco Bug IDs: CSCvi16029.","word
status",,,,,"///sessions
200",,high,"https://github.com/yassineaboukir/CVE-2018-0296
     https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180606-asaftd
     https://www.exploit-db.com/exploits/44956/
     https://nvd.nist.gov/vuln/detail/CVE-2018-0296
     http://www.securitytracker.com/id/1041076","CWE-20,CWE-22",CVE-2018-0296,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,cpe:2.3:a:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*,,"edb,cve,cve2018,cisco,lfi,traversal,asa,kev"
CVE-2018-1000129,"|
    Jolokia 1.3.7 is vulnerable to cross-site scripting in the HTTP servlet and allows an attacker to execute malicious JavaScript in the victim's browser.","word
word
status",,,,,"<svg onload=alert(document.domain)>
           java.lang.IllegalArgumentException
           No type with name
text/html
200",,medium,"https://jolokia.org/#Security_fixes_with_1.5.0
     https://github.com/rhuss/jolokia/commit/5895d5c137c335e6b473e9dcb9baf748851bbc5f#diff-f19898247eddb55de6400489bff748ad
     https://blog.gdssecurity.com/labs/2018/4/18/jolokia-vulnerabilities-rce-xss.html
     https://blog.it-securityguard.com/how-i-made-more-than-30k-with-jolokia-cves/
     https://nvd.nist.gov/vuln/detail/CVE-2018-1000129",CWE-79,CVE-2018-1000129,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:jolokia:jolokia:1.3.7:*:*:*:*:*:*:*,,"cve,cve2018,jolokia,xss"
CVE-2018-1000130,"|
    Jolokia agent is vulnerable to a JNDI injection vulnerability that allows a remote attacker to run arbitrary Java code on the server when the agent is in proxy mode.","word
status",,,,,"Failed to retrieve RMIServer stub: javax.naming.CommunicationException: 127.0.0.1:1389
200",,high,"https://jolokia.org/#Security_fixes_with_1.5.0
     https://access.redhat.com/errata/RHSA-2018:2669
     https://nvd.nist.gov/vuln/detail/CVE-2018-1000130",CWE-74,CVE-2018-1000130,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,cpe:2.3:a:jolokia:webarchive_agent:1.3.7:*:*:*:*:*:*:*,,"cve,cve2018,jolokia,rce,jndi,proxy"
CVE-2018-1000226,"Cobbler versions 2.6.11+, but code inspection suggests at least 2.0.0+ and possibly even older versions, may be vulnerable to an authentication bypass vulnerability in XMLRPC API (/cobbler_api) that can result in privilege escalation, data manipulation or exfiltration, and LDAP credential harvesting. This attack appear to be exploitable via network connectivity. Taking advantage of improper validation of security tokens in API endpoints. Please note this is a different issue than CVE-2018-10931.","dsl
word
word
regex
status",,,,,"!contains(tolower(body), '<name>faultCode</name>')
Content-Type: text/xml
<methodResponse>
(.*[a-zA-Z0-9].+==)</string></value>
200",,critical,"https://github.com/cobbler/cobbler/issues/1916
     https://movermeyer.com/2018-08-02-privilege-escalation-exploits-in-cobblers-api/
     https://nvd.nist.gov/vuln/detail/CVE-2018-1000226",CWE-732,CVE-2018-1000226,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:cobblerd:cobbler:*:*:*:*:*:*:*:*,,"cve,cve2018,cobbler,auth-bypass"
CVE-2018-1000533,klaussilveira GitList version <= 0.6 contains a passing incorrectly sanitized input via the `searchTree` function that can result in remote code execution.,word,regex,,,,"root:/root:/bin/bash
'<span class=name>(.*?)</span>'",,critical,"https://github.com/vulhub/vulhub/tree/master/gitlist/CVE-2018-1000533
     https://nvd.nist.gov/vuln/detail/CVE-2018-1000533
     https://security.szurek.pl/exploit-bypass-php-escapeshellarg-escapeshellcmd.html
     https://github.com/klaussilveira/gitlist/commit/87b8c26b023c3fc37f0796b14bb13710f397b322",CWE-20,CVE-2018-1000533,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:gitlist:gitlist:*:*:*:*:*:*:*:*,,"git,cve,cve2018,gitlist,vulhub,rce"
